y_now,v_now,y_next,v_next
91.17040818371052,0.0,91.17040818371052,-9.8
91.17040818371052,-9.8,81.37040818371052,-19.6
81.37040818371052,-19.6,61.77040818371052,-29.400000000000002
61.77040818371052,-29.400000000000002,32.37040818371052,-39.2
32.37040818371052,-39.2,-6.829591816289479,-49.0
275.6582348810715,0.0,275.6582348810715,-9.8
275.6582348810715,-9.8,265.8582348810715,-19.6
265.8582348810715,-19.6,246.2582348810715,-29.400000000000002
246.2582348810715,-29.400000000000002,216.8582348810715,-39.2
216.8582348810715,-39.2,177.6582348810715,-49.0
231.05975585755294,0.0,231.05975585755294,-9.8
231.05975585755294,-9.8,221.25975585755293,-19.6
221.25975585755293,-19.6,201.65975585755294,-29.400000000000002
201.65975585755294,-29.400000000000002,172.25975585755293,-39.2
172.25975585755293,-39.2,133.05975585755294,-49.0
84.06680065845009,0.0,84.06680065845009,-9.8
84.06680065845009,-9.8,74.2668006584501,-19.6
74.2668006584501,-19.6,54.66680065845009,-29.400000000000002
54.66680065845009,-29.400000000000002,25.26680065845009,-39.2
25.26680065845009,-39.2,-13.933199341549912,-49.0
213.5919840914235,0.0,213.5919840914235,-9.8
213.5919840914235,-9.8,203.7919840914235,-19.6
203.7919840914235,-19.6,184.1919840914235,-29.400000000000002
184.1919840914235,-29.400000000000002,154.7919840914235,-39.2
154.7919840914235,-39.2,115.5919840914235,-49.0
242.0418009318352,0.0,242.0418009318352,-9.8
242.0418009318352,-9.8,232.2418009318352,-19.6
232.2418009318352,-19.6,212.6418009318352,-29.400000000000002
212.6418009318352,-29.400000000000002,183.2418009318352,-39.2
183.2418009318352,-39.2,144.0418009318352,-49.0
379.7018361268736,0.0,379.7018361268736,-9.8
379.7018361268736,-9.8,369.9018361268736,-19.6
369.9018361268736,-19.6,350.3018361268736,-29.400000000000002
350.3018361268736,-29.400000000000002,320.9018361268736,-39.2
320.9018361268736,-39.2,281.7018361268736,-49.0
300.97552315866113,0.0,300.97552315866113,-9.8
300.97552315866113,-9.8,291.1755231586611,-19.6
291.1755231586611,-19.6,271.5755231586611,-29.400000000000002
271.5755231586611,-29.400000000000002,242.1755231586611,-39.2
242.1755231586611,-39.2,202.97552315866108,-49.0
492.27914401378627,0.0,492.27914401378627,-9.8
492.27914401378627,-9.8,482.47914401378625,-19.6
482.47914401378625,-19.6,462.87914401378623,-29.400000000000002
462.87914401378623,-29.400000000000002,433.47914401378625,-39.2
433.47914401378625,-39.2,394.27914401378627,-49.0
279.23275242203454,0.0,279.23275242203454,-9.8
279.23275242203454,-9.8,269.4327524220345,-19.6
269.4327524220345,-19.6,249.83275242203453,-29.400000000000002
249.83275242203453,-29.400000000000002,220.43275242203453,-39.2
220.43275242203453,-39.2,181.23275242203454,-49.0
234.72855004990203,0.0,234.72855004990203,-9.8
234.72855004990203,-9.8,224.92855004990201,-19.6
224.92855004990201,-19.6,205.32855004990202,-29.400000000000002
205.32855004990202,-29.400000000000002,175.92855004990201,-39.2
175.92855004990201,-39.2,136.72855004990203,-49.0
288.3305568502356,0.0,288.3305568502356,-9.8
288.3305568502356,-9.8,278.5305568502356,-19.6
278.5305568502356,-19.6,258.9305568502356,-29.400000000000002
258.9305568502356,-29.400000000000002,229.53055685023557,-39.2
229.53055685023557,-39.2,190.33055685023555,-49.0
60.64704586998951,0.0,60.64704586998951,-9.8
60.64704586998951,-9.8,50.847045869989515,-19.6
50.847045869989515,-19.6,31.247045869989513,-29.400000000000002
31.247045869989513,-29.400000000000002,1.8470458699895111,-39.2
1.8470458699895111,-39.2,-37.35295413001049,-49.0
97.54161428656596,0.0,97.54161428656596,-9.8
97.54161428656596,-9.8,87.74161428656596,-19.6
87.74161428656596,-19.6,68.14161428656595,-29.400000000000002
68.14161428656595,-29.400000000000002,38.74161428656595,-39.2
